1691,Goettingen,Niedersachsen,0,9.9507,51.5002,167

DNI (W/m^2),GHI (W/m^2),Date (MM/DD/YYYY),Time (HH:MM),DHI (W/m^2),Dry-bulb (C),Alb

0,0,01/18/2019,06:00,0,3,05,0.25

0,0,01/18/2019,07:00,0,3,38,0.25

9,7223,27,0061,01/18/2019,08:00,17,284,4,03,0.25

62,5,173,6111,01/18/2019,09:00,111,1111,4,25,0.25

86,9444,241,5125,01/18/2019,10:00,154,5679,4,62,0.25

99,7222,277,0061,01/18/2019,11:00,177,2839,4,78,0.25

123,0556,341,8212,01/18/2019,12:00,218,7654,5,53,0.25

126,111,350,3085,01/18/2019,13:00,224,1975,5,73,0.25

55,152,7778,01/18/2019,14:00,97,7778,4,52,0.25

35,8334,99,5371,01/18/2019,15:00,63,7037,4,35,0.25

8,3334,23,1481,01/18/2019,16:00,14,8148,4,17,0.25

0,0,01/18/2019,17:00,0,3,45,0.25

0,0,01/18/2019,18:00,0,2,92,0.25

0,0,01/18/2019,19:00,0,2,82,0.25

0,0,01/18/2019,20:00,0,2,28,0.25

0,0,01/18/2019,21:00,0,2,55,0.25

0,0,01/18/2019,22:00,0,1,92,0.25

0,0,01/18/2019,23:00,0,2,32,0.25

0,0,01/19/2019,00:00,0,2,55,0.25

0,0,01/19/2019,01:00,0,2,85,0.25

0,0,01/19/2019,02:00,0,2,73,0.25

0,0,01/19/2019,03:00,0,2,17,0.25

0,0,01/19/2019,04:00,0,2,17,0.25

0,0,01/19/2019,05:00,0,2,47,0.25

0,0,01/19/2019,06:00,0,2,5,0.25

0,0,01/19/2019,07:00,0,2,35,0.25

0,2778,0,7716,01/19/2019,08:00,0,4938,2,48,0.25

26,6667,74,0741,01/19/2019,09:00,47,4073,2,77,0.25

58,3333,162,0369,01/19/2019,10:00,103,7036,3,2,0.25

70,2778,195,2161,01/19/2019,11:00,124,9382,3,5,0.25

113,0555,314,0432,01/19/2019,12:00,200,9876,4,08,0.25

59,7223,165,8951,01/19/2019,13:00,106,1728,4,02,0.25

76,389,212,1913,01/19/2019,14:00,135,8024,4,45,0.25

16,9444,47,0679,01/19/2019,15:00,30,1235,4,23,0.25

0,8334,2,3148,01/19/2019,16:00,1,4815,3,88,0.25

0,0,01/19/2019,17:00,0,3,8,0.25

0,0,01/19/2019,18:00,0,3,9,0.25

0,0,01/19/2019,19:00,0,3,75,0.25

0,0,01/19/2019,20:00,0,3,3,0.25

0,0,01/19/2019,21:00,0,2,05,0.25

0,0,01/19/2019,22:00,0,0,75,0.25

0,0,01/19/2019,23:00,0,1,43,0.25

0,0,01/20/2019,00:00,0,1,73,0.25

0,0,01/20/2019,01:00,0,1,9,0.25

0,0,01/20/2019,02:00,0,1,95,0.25

0,0,01/20/2019,03:00,0,2,08,0.25

0,0,01/20/2019,04:00,0,1,72,0.25

0,0,01/20/2019,05:00,0,1,45,0.25

0,0,01/20/2019,06:00,0,1,7,0.25

0,0,01/20/2019,07:00,0,1,35,0.25

10,8333,30,0926,01/20/2019,08:00,19,2592,1,62,0.25

70,5555,195,9876,01/20/2019,09:00,125,4321,2,67,0.25

134,7222,374,2285,01/20/2019,10:00,239,5061,3,48,0.25

185,8334,516,2036,01/20/2019,11:00,330,3704,4,62,0.25

131,3888,364,9691,01/20/2019,12:00,233,5802,5,5,0.25

140,2778,389,6606,01/20/2019,13:00,249,3828,5,98,0.25

109,4445,304,0123,01/20/2019,14:00,194,5679,5,98,0.25

50,8333,141,2038,01/20/2019,15:00,90,3704,5,92,0.25

10,5556,29,3209,01/20/2019,16:00,18,7654,4,53,0.25

0,0,01/20/2019,17:00,0,1,33,0.25

0,0,01/20/2019,18:00,0,0,53,0.25

0,0,01/20/2019,19:00,0,-0,4,0.25

0,0,01/20/2019,20:00,0,-0,77,0.25

0,0,01/20/2019,21:00,0,-1,57,0.25

0,0,01/20/2019,22:00,0,-1,68,0.25

0,0,01/20/2019,23:00,0,-1,83,0.25

0,0,01/21/2019,00:00,0,-2,83,0.25

0,0,01/21/2019,01:00,0,-3,05,0.25

0,0,01/21/2019,02:00,0,-3,0.25

0,0,01/21/2019,03:00,0,-3,52,0.25

0,0,01/21/2019,04:00,0,-3,42,0.25

0,0,01/21/2019,05:00,0,-3,6,0.25

0,0,01/21/2019,06:00,0,-4,15,0.25

0,0,01/21/2019,07:00,0,-4,43,0.25

11,6666,32,4074,01/21/2019,08:00,20,7407,-4,35,0.25

44,4445,123,4567,01/21/2019,09:00,79,0124,-3,33,0.25

61,9445,172,068,01/21/2019,10:00,110,1235,-1,43,0.25

66,3888,184,4136,01/21/2019,11:00,118,0248,0,37,0.25

65,180,5556,01/21/2019,12:00,115,5556,1,97,0.25

58,8888,163,5804,01/21/2019,13:00,104,6914,3,5,0.25

53,3334,148,1483,01/21/2019,14:00,94,8148,4,48,0.25

41,1112,114,1974,01/21/2019,15:00,73,0865,3,93,0.25

14,7222,40,8951,01/21/2019,16:00,26,1729,2,08,0.25

0,0,01/21/2019,17:00,0,0,42,0.25

0,0,01/21/2019,18:00,0,-1,3,0.25

0,0,01/21/2019,19:00,0,-1,27,0.25

0,0,01/21/2019,20:00,0,-1,83,0.25

0,0,01/21/2019,21:00,0,-2,25,0.25

0,0,01/21/2019,22:00,0,-2,4,0.25

0,0,01/21/2019,23:00,0,-3,15,0.25

0,0,01/22/2019,00:00,0,-3,23,0.25

0,0,01/22/2019,01:00,0,-3,78,0.25

0,0,01/22/2019,02:00,0,-4,4,0.25

0,0,01/22/2019,03:00,0,-4,35,0.25

0,0,01/22/2019,04:00,0,-4,17,0.25

0,0,01/22/2019,05:00,0,-3,13,0.25

0,0,01/22/2019,06:00,0,-1,83,0.25

0,0,01/22/2019,07:00,0,-1,02,0.25

4,4445,12,3456,01/22/2019,08:00,7,9012,-0,05,0.25

19,1667,53,2407,01/22/2019,09:00,34,0741,0,4,0.25

37,7778,104,9382,01/22/2019,10:00,67,1605,0,67,0.25

45,5554,126,5432,01/22/2019,11:00,80,9876,0,88,0.25

58,3332,162,0369,01/22/2019,12:00,103,7037,0,92,0.25

44,4445,123,4566,01/22/2019,13:00,79,0124,1,05,0.25

36,9445,102,6234,01/22/2019,14:00,65,679,1,3,0.25

20,5556,57,0988,01/22/2019,15:00,36,5433,1,47,0.25

2,5,6,9444,01/22/2019,16:00,4,4444,1,3,0.25

0,0,01/22/2019,17:00,0,1,3,0.25

0,0,01/22/2019,18:00,0,1,38,0.25

0,0,01/22/2019,19:00,0,1,35,0.25

0,0,01/22/2019,20:00,0,1,3,0.25

0,0,01/22/2019,21:00,0,1,08,0.25

0,0,01/22/2019,22:00,0,1,08,0.25

0,0,01/22/2019,23:00,0,1,23,0.25

0,0,01/23/2019,00:00,0,1,15,0.25

0,0,01/23/2019,01:00,0,0,98,0.25

0,0,01/23/2019,02:00,0,1,08,0.25

0,0,01/23/2019,03:00,0,0,82,0.25

0,0,01/23/2019,04:00,0,0,62,0.25

0,0,01/23/2019,05:00,0,0,8,0.25

0,0,01/23/2019,06:00,0,0,75,0.25

0,0,01/23/2019,07:00,0,0,53,0.25

3,8889,10,8024,01/23/2019,08:00,6,9136,0,7,0.25

41,3888,114,9692,01/23/2019,09:00,73,5803,1,2,0.25

