date;time;GHI;DHI
27.09.2020;01:00:00;0;0
27.09.2020;01:10:00;0;0
27.09.2020;01:20:00;0;0
27.09.2020;01:30:00;0;0
27.09.2020;01:40:00;0;0
27.09.2020;01:50:00;0;0
27.09.2020;02:00:00;0;0
27.09.2020;02:10:00;0;0
27.09.2020;02:20:00;0;0
27.09.2020;02:30:00;0;0
27.09.2020;02:40:00;0;0
27.09.2020;02:50:00;0;0
27.09.2020;03:00:00;0;0
27.09.2020;03:10:00;0;0
27.09.2020;03:20:00;0;0
27.09.2020;03:30:00;0;0
27.09.2020;03:40:00;0;0
27.09.2020;03:50:00;0;0
27.09.2020;04:00:00;0;0
27.09.2020;04:10:00;0;0
27.09.2020;04:20:00;0;0
27.09.2020;04:30:00;0;0
27.09.2020;04:40:00;0;0
27.09.2020;04:50:00;0;0
27.09.2020;05:00:00;0;0
27.09.2020;05:10:00;0;0
27.09.2020;05:20:00;0;0
27.09.2020;05:30:00;0;0
27.09.2020;05:40:00;0;0
27.09.2020;05:50:00;0;0
27.09.2020;06:00:00;8.333333333;8.333333333
27.09.2020;06:10:00;35;35
27.09.2020;06:20:00;40;40
27.09.2020;06:30:00;60;60
27.09.2020;06:40:00;101.6666667;86.66666667
27.09.2020;06:50:00;146.6666667;101.6666667
27.09.2020;07:00:00;100;98.33333333
27.09.2020;07:10:00;120;116.6666667
27.09.2020;07:20:00;151.6666667;145
27.09.2020;07:30:00;150;125
27.09.2020;07:40:00;150;115
27.09.2020;07:50:00;188.3333333;130
27.09.2020;08:00:00;206.6666667;138.3333333
27.09.2020;08:10:00;191.6666667;175
27.09.2020;08:20:00;206.6666667;200
27.09.2020;08:30:00;305;240
27.09.2020;08:40:00;238.3333333;198.3333333
27.09.2020;08:50:00;226.6666667;193.3333333
27.09.2020;09:00:00;186.6666667;170
27.09.2020;09:10:00;195;190
27.09.2020;09:20:00;163.3333333;163.3333333
27.09.2020;09:30:00;178.3333333;178.3333333
27.09.2020;09:40:00;275;275
27.09.2020;09:50:00;310;295
27.09.2020;10:00:00;288.3333333;286.6666667
27.09.2020;10:10:00;193.3333333;193.3333333
27.09.2020;10:20:00;230;230
27.09.2020;10:30:00;288.3333333;286.6666667
27.09.2020;10:40:00;233.3333333;230
27.09.2020;10:50:00;436.6666667;318.3333333
27.09.2020;11:00:00;256.6666667;256.6666667
27.09.2020;11:10:00;311.6666667;308.3333333
27.09.2020;11:20:00;275;273.3333333
27.09.2020;11:30:00;410;396.6666667
27.09.2020;11:40:00;391.6666667;351.6666667
27.09.2020;11:50:00;430;333.3333333
27.09.2020;12:00:00;520;298.3333333
27.09.2020;12:10:00;190;190
27.09.2020;12:20:00;78.33333333;78.33333333
27.09.2020;12:30:00;160;158.3333333
27.09.2020;12:40:00;218.3333333;218.3333333
27.09.2020;12:50:00;233.3333333;230
27.09.2020;13:00:00;230;228.3333333
27.09.2020;13:10:00;235;233.3333333
27.09.2020;13:20:00;188.3333333;188.3333333
27.09.2020;13:30:00;141.6666667;141.6666667
27.09.2020;13:40:00;151.6666667;150
27.09.2020;13:50:00;256.6666667;250
27.09.2020;14:00:00;211.6666667;211.6666667
27.09.2020;14:10:00;225;223.3333333
27.09.2020;14:20:00;190;188.3333333
27.09.2020;14:30:00;236.6666667;235
27.09.2020;14:40:00;198.3333333;195
27.09.2020;14:50:00;105;105
27.09.2020;15:00:00;65;63.33333333
27.09.2020;15:10:00;38.33333333;38.33333333
27.09.2020;15:20:00;36.66666667;36.66666667
27.09.2020;15:30:00;28.33333333;28.33333333
27.09.2020;15:40:00;40;40
27.09.2020;15:50:00;46.66666667;46.66666667
27.09.2020;16:00:00;80;80
27.09.2020;16:10:00;53.33333333;53.33333333
27.09.2020;16:20:00;25;25
27.09.2020;16:30:00;18.33333333;18.33333333
27.09.2020;16:40:00;11.66666667;11.66666667
27.09.2020;16:50:00;3.333333333;3.333333333
27.09.2020;17:00:00;0;0
27.09.2020;17:10:00;0;0
27.09.2020;17:20:00;0;0
27.09.2020;17:30:00;0;0
27.09.2020;17:40:00;0;0
27.09.2020;17:50:00;0;0
27.09.2020;18:00:00;0;0
27.09.2020;18:10:00;0;0
27.09.2020;18:20:00;0;0
27.09.2020;18:30:00;0;0
27.09.2020;18:40:00;0;0
27.09.2020;18:50:00;0;0
27.09.2020;19:00:00;0;0
27.09.2020;19:10:00;0;0
27.09.2020;19:20:00;0;0
27.09.2020;19:30:00;0;0
27.09.2020;19:40:00;0;0
27.09.2020;19:50:00;0;0
27.09.2020;20:00:00;0;0
27.09.2020;20:10:00;0;0
27.09.2020;20:20:00;0;0
27.09.2020;20:30:00;0;0
27.09.2020;20:40:00;0;0
27.09.2020;20:50:00;0;0
27.09.2020;21:00:00;0;0
27.09.2020;21:10:00;0;0
27.09.2020;21:20:00;0;0
27.09.2020;21:30:00;0;0
27.09.2020;21:40:00;0;0
27.09.2020;21:50:00;0;0
27.09.2020;22:00:00;0;0
27.09.2020;22:10:00;0;0
27.09.2020;22:20:00;0;0
27.09.2020;22:30:00;0;0
27.09.2020;22:40:00;0;0
27.09.2020;22:50:00;0;0
27.09.2020;23:00:00;0;0
27.09.2020;23:10:00;0;0
27.09.2020;23:20:00;0;0
