Wavelength [nm];Reflectivity
3040.6;5.6123
3042.3;5.5879
3044.1;5.5774
3045.9;5.5957
3047.7;5.6211
3049.5;5.6362
3051.3;5.6431
3053.1;5.6435
3054.9;5.6597
3056.7;5.6362
3058.5;5.6455
3060.3;5.6665
3062.1;5.6689
3063.9;5.7065
3065.7;5.7173
3067.5;5.7248
3069.4;5.7507
3071.2;5.7632
3073;5.7522
3074.8;5.7678
3076.6;5.7827
3078.5;5.7822
3080.3;5.7971
3082.1;5.7803
3084;5.7961
3085.8;5.8459
3087.6;5.8664
3089.5;5.8396
3091.3;5.8545
3093.2;5.8818
3095;5.9282
3096.9;5.9197
3098.7;5.8943
3100.6;5.9397
3102.4;5.9895
3104.3;5.9626
3106.1;5.9692
3108;5.9785
3109.9;6.029
3111.7;6.0603
3113.6;6.0224
3115.5;6.0295
3117.4;6.0842
3119.2;6.0923
3121.1;6.0642
3123;6.124
3124.9;6.1889
3126.8;6.2095
3128.6;6.2243
3130.5;6.2234
3132.4;6.2607
3134.3;6.2905
3136.2;6.2776
3138.1;6.2785
3140;6.365
3141.9;6.3804
3143.8;6.3699
3145.7;6.3996
3147.6;6.456
3149.5;6.498
3151.5;6.5224
3153.4;6.5293
3155.3;6.5552
3157.2;6.5803
3159.1;6.6124
3161.1;6.6321
3163;6.6474
3164.9;6.6774
3166.9;6.7197
3168.8;6.758
3170.7;6.8005
3172.7;6.8254
3174.6;6.8542
3176.6;6.8891
3178.5;6.9033
3180.5;6.9416
3182.4;6.9795
3184.4;6.99
3186.3;6.9958
3188.3;7.0339
3190.2;7.0875
3192.2;7.1035
3194.2;7.1186
3196.1;7.1733
3198.1;7.2446
3200.1;7.2627
3202.1;7.2656
3204;7.2849
3206;7.3379
3208;7.3699
3210;7.3699
3212;7.4092
3214;7.5034
3216;7.5112
3218;7.5373
3220;7.5959
3222;7.6189
3224;7.6628
3226;7.6799
3228;7.6733
3230;7.6911
3232;7.7446
3234;7.8044
3236.1;7.8533
3238.1;7.8637
3240.1;7.8877
